  for bin=1, -15<vz<=-14.5, vzWeight=0.381083
  for bin=2, -14.5<vz<=-14, vzWeight=0.420849
  for bin=3, -14<vz<=-13.5, vzWeight=0.457166
  for bin=4, -13.5<vz<=-13, vzWeight=0.489082
  for bin=5, -13<vz<=-12.5, vzWeight=0.526434
  for bin=6, -12.5<vz<=-12, vzWeight=0.568316
  for bin=7, -12<vz<=-11.5, vzWeight=0.631824
  for bin=8, -11.5<vz<=-11, vzWeight=0.627796
  for bin=9, -11<vz<=-10.5, vzWeight=0.690459
  for bin=10, -10.5<vz<=-10, vzWeight=0.714526
  for bin=11, -10<vz<=-9.5, vzWeight=0.750061
  for bin=12, -9.5<vz<=-9, vzWeight=0.799916
  for bin=13, -9<vz<=-8.5, vzWeight=0.816735
  for bin=14, -8.5<vz<=-8, vzWeight=0.85323
  for bin=15, -8<vz<=-7.5, vzWeight=0.877455
  for bin=16, -7.5<vz<=-7, vzWeight=0.895425
  for bin=17, -7<vz<=-6.5, vzWeight=0.92577
  for bin=18, -6.5<vz<=-6, vzWeight=0.960376
  for bin=19, -6<vz<=-5.5, vzWeight=1.00063
  for bin=20, -5.5<vz<=-5, vzWeight=1.00567
  for bin=21, -5<vz<=-4.5, vzWeight=1.01408
  for bin=22, -4.5<vz<=-4, vzWeight=1.03837
  for bin=23, -4<vz<=-3.5, vzWeight=1.05649
  for bin=24, -3.5<vz<=-3, vzWeight=1.07153
  for bin=25, -3<vz<=-2.5, vzWeight=1.07986
  for bin=26, -2.5<vz<=-2, vzWeight=1.09942
  for bin=27, -2<vz<=-1.5, vzWeight=1.1102
  for bin=28, -1.5<vz<=-1, vzWeight=1.12039
  for bin=29, -1<vz<=-0.5, vzWeight=1.116
  for bin=30, -0.5<vz<=0, vzWeight=1.1358
  for bin=31, 0<vz<=0.5, vzWeight=1.13279
  for bin=32, 0.5<vz<=1, vzWeight=1.1387
  for bin=33, 1<vz<=1.5, vzWeight=1.13261
  for bin=34, 1.5<vz<=2, vzWeight=1.14604
  for bin=35, 2<vz<=2.5, vzWeight=1.12861
  for bin=36, 2.5<vz<=3, vzWeight=1.14573
  for bin=37, 3<vz<=3.5, vzWeight=1.12039
  for bin=38, 3.5<vz<=4, vzWeight=1.11589
  for bin=39, 4<vz<=4.5, vzWeight=1.11258
  for bin=40, 4.5<vz<=5, vzWeight=1.10108
  for bin=41, 5<vz<=5.5, vzWeight=1.09245
  for bin=42, 5.5<vz<=6, vzWeight=1.08902
  for bin=43, 6<vz<=6.5, vzWeight=1.06721
  for bin=44, 6.5<vz<=7, vzWeight=1.0261
  for bin=45, 7<vz<=7.5, vzWeight=1.01827
  for bin=46, 7.5<vz<=8, vzWeight=0.989024
  for bin=47, 8<vz<=8.5, vzWeight=0.962674
  for bin=48, 8.5<vz<=9, vzWeight=0.936773
  for bin=49, 9<vz<=9.5, vzWeight=0.907251
  for bin=50, 9.5<vz<=10, vzWeight=0.891311
  for bin=51, 10<vz<=10.5, vzWeight=0.864917
  for bin=52, 10.5<vz<=11, vzWeight=0.807905
  for bin=53, 11<vz<=11.5, vzWeight=0.787968
  for bin=54, 11.5<vz<=12, vzWeight=0.725249
  for bin=55, 12<vz<=12.5, vzWeight=0.709917
  for bin=56, 12.5<vz<=13, vzWeight=0.661411
  for bin=57, 13<vz<=13.5, vzWeight=0.628832
  for bin=58, 13.5<vz<=14, vzWeight=0.580118
  for bin=59, 14<vz<=14.5, vzWeight=0.550339
  for bin=60, 14.5<vz<15, vzWeight=0.479087
